geo,name,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
hti,Haiti,560.7,566.62,591.36,612.29,633.73,662.29,685.78,720.76,728.81,777.36,813.12,857.7,894.01,939.49,986.12,1027.7,1058.92,1097.46,1129.64,1165.5,1178.72,1232.25,1279.16,1325.94,1380.96,1440.52,1497.15,1553.55,1623.26,1691.9,1739.65,1788.1
hun,Hungary,4420,4540.11,4838.13,5126.21,5237.64,5399.4,5463.38,5815.23,5988.56,6149.05,6024.12,5934.33,5943.86,6113.94,6023.68,5914.04,5765.35,5940.42,5829.71,6034.64,5744.83,5863.4,5867.14,5867.11,5872.71,6155.72,5969.88,6095.63,6073.95,6113.1,6092.78,6063.32
idn,Indonesia,12142.86,12940.07,13745.79,14623.49,15408.62,16126.6,16896.46,17789.51,18689.27,19628.59,20580.05,21426.64,22192.13,23057.04,23832.36,24699.52,25624.91,26737.84,27898.17,29239.36,30647.57,32311.16,33493.74,34822.15,36307.8,37732.66,39687.55,41780.65,43808.39,45926.16,47609.98,49021.32
ind,India,33068.29,34438.01,36060.33,37251.77,38940.5,40723.22,42508.27,44522.06,46600.26,48426.4,50304.35,52431.6,54749.31,56649.71,58143.68,60650.39,64120.61,67908.03,71451.59,75555.63,80587.18,85300.94,91023.38,98465.72,105162.72,114227.97,122396.22,131024.24,138158.33,144063.56,150089.11,156160.16
irl,Ireland,1854.25,1919.05,1978.34,1932.77,1900.16,1938.11,1965.71,2040.8,2060.97,2164.91,2271.85,2332.71,2276.6,2381.2,2494.57,2637.82,2745.95,2786.3,3012.62,2958.84,2869.76,2975.15,3063.86,3116.4,3188.62,3201.53,3244.7,3186.08,3336.79,3398.26,3187.91,3106.7
irn,Iran,3177.56,3475.33,3782.24,4039.54,4272.91,4459.05,4620.48,4795.47,5004.45,5272.71,5591.55,5947.71,6393.9,6830.49,7236.47,7662.54,8187.97,8866.46,9739.39,10749.93,11848.12,13238.82,14726.24,16232.72,17688.67,19010.11,20353.4,21817.21,23420.27,24910.27,23718.13,24634.79
irq,Iraq,1219.32,1303.38,1394.07,1484.88,1577.81,1657.66,1739.98,1843.84,1968.32,2115.35,2283.4,2463.44,2667.35,2851.66,3044.44,3199.81,3366.14,3561.66,3812.35,4126.34,4535.28,4981.88,5462.12,5965.05,6332.75,6595.1,6995.04,7422.32,7857.72,8376.72,8911.32,9395.82
isl,Iceland,126.39,121.3,124.87,131.62,135.01,142.05,140.52,150.41,151.45,149.6,149.69,150.28,156.18,157.08,160.22,164.29,170.35,182.15,188.16,185.59,183.17,186.29,193.69,196.52,197.46,202.02,201.96,197.17,194.94,194.94,193.81,213.36
isr,Israel,1873.52,2047.2,2181.76,2291.98,2467.09,2709.03,2845.92,2927.23,3054.26,3157.25,3173.91,3161.81,3204.1,3285.29,3380.81,3538.07,3625,3794.09,3804.66,3785.8,3727.51,3836.52,3827.96,3976.88,3968.9,4012.42,4112.43,4231.95,4260,4367.31,4124.39,4109.73
ita,Italy,38550.13,39332.69,39414.44,41144.66,42501.55,44595.99,46436.11,46802.8,47072.25,46917.3,47924.46,48243.93,48148.08,48268.07,48122.85,49362.27,50818.16,52350.09,53145.18,53179.27,52718.21,51984.45,51945.99,51840.6,52092.37,52540.78,52773.88,53087.1,53565.53,52569.19,49731.11,50924.7
